,Ticker Code,Initial Capital,Total Capital Gain,Capital Gain Percentage,Transaction Fee,Number Purchased,Number Sold,Indicator,Stock Layer,Fraction
76,UNVR,899225.0,14553.0,1,10615,2,1,MFII_14,LAYER_1,Fraksi_4
77,UNVR,958939.0,-183000.0,-19,124000,16,16,BB_MAVG_20,LAYER_1,Fraksi_4
78,UNVR,955427.0,-106777.0,-11,114277,15,15,CCI_20,LAYER_1,Fraksi_4
79,UNVR,963456.0,-5505.0,0,60505,8,8,SO_14,LAYER_1,Fraksi_4
76,UNVR,899225.0,14553.0,1,10615,2,1,MFII_14,LAYER_1,Fraksi_4
77,UNVR,958939.0,-183000.0,-19,124000,16,16,BB_MAVG_20,LAYER_1,Fraksi_4
78,UNVR,955427.0,-106777.0,-11,114277,15,15,CCI_20,LAYER_1,Fraksi_4
79,UNVR,963456.0,-5505.0,0,60505,8,8,SO_14,LAYER_1,Fraksi_4
348,UNVR,899225.0,14553.0,1,10615,2,1,MFII_14_AND_BB_MAVG_20,LAYER_1,Fraksi_4
349,UNVR,958939.0,-183000.0,-19,124000,16,16,MFII_14_OR_BB_MAVG_20,LAYER_1,Fraksi_4
350,UNVR,899225.0,14553.0,1,10627,2,1,MFII_14_AND_CCI_20,LAYER_1,Fraksi_4
351,UNVR,955427.0,-106777.0,-11,114277,15,15,MFII_14_OR_CCI_20,LAYER_1,Fraksi_4
352,UNVR,899225.0,14553.0,1,10615,2,1,MFII_14_AND_SO_14,LAYER_1,Fraksi_4
353,UNVR,955427.0,-106777.0,-11,114277,15,15,MFII_14_OR_CCI_20,LAYER_1,Fraksi_4
354,UNVR,955427.0,-98653.0,-10,77153,10,10,BB_MAVG_20_AND_CCI_20,LAYER_1,Fraksi_4
355,UNVR,958939.0,-254058.0,-26,223558,29,29,BB_MAVG_20_OR_CCI_20,LAYER_1,Fraksi_4
356,UNVR,963456.0,-32624.0,-3,53624,7,7,BB_MAVG_20_AND_SO_14,LAYER_1,Fraksi_4
357,UNVR,958939.0,-179533.0,-18,146533,19,19,BB_MAVG_20_OR_SO_14,LAYER_1,Fraksi_4
358,UNVR,963456.0,-48689.0,-5,53189,7,7,CCI_20_AND_SO_14,LAYER_1,Fraksi_4
359,UNVR,955427.0,-103293.0,-10,114293,15,15,CCI_20_OR_SO_14,LAYER_1,Fraksi_4
76,UNVR,899225.0,14553.0,1,10615,2,1,MFII_14,LAYER_1,Fraksi_4
77,UNVR,958939.0,-183000.0,-19,124000,16,16,BB_MAVG_20,LAYER_1,Fraksi_4
78,UNVR,955427.0,-106777.0,-11,114277,15,15,CCI_20,LAYER_1,Fraksi_4
79,UNVR,963456.0,-5505.0,0,60505,8,8,SO_14,LAYER_1,Fraksi_4
348,UNVR,899225.0,14553.0,1,10615,2,1,MFII_14_AND_BB_MAVG_20,LAYER_1,Fraksi_4
349,UNVR,958939.0,-183000.0,-19,124000,16,16,MFII_14_OR_BB_MAVG_20,LAYER_1,Fraksi_4
350,UNVR,899225.0,14553.0,1,10627,2,1,MFII_14_AND_CCI_20,LAYER_1,Fraksi_4
351,UNVR,955427.0,-106777.0,-11,114277,15,15,MFII_14_OR_CCI_20,LAYER_1,Fraksi_4
352,UNVR,899225.0,14553.0,1,10615,2,1,MFII_14_AND_SO_14,LAYER_1,Fraksi_4
353,UNVR,955427.0,-106777.0,-11,114277,15,15,MFII_14_OR_CCI_20,LAYER_1,Fraksi_4
354,UNVR,955427.0,-98653.0,-10,77153,10,10,BB_MAVG_20_AND_CCI_20,LAYER_1,Fraksi_4
355,UNVR,958939.0,-254058.0,-26,223558,29,29,BB_MAVG_20_OR_CCI_20,LAYER_1,Fraksi_4
356,UNVR,963456.0,-32624.0,-3,53624,7,7,BB_MAVG_20_AND_SO_14,LAYER_1,Fraksi_4
357,UNVR,958939.0,-179533.0,-18,146533,19,19,BB_MAVG_20_OR_SO_14,LAYER_1,Fraksi_4
358,UNVR,963456.0,-48689.0,-5,53189,7,7,CCI_20_AND_SO_14,LAYER_1,Fraksi_4
359,UNVR,955427.0,-103293.0,-10,114293,15,15,CCI_20_OR_SO_14,LAYER_1,Fraksi_4
784,UNVR,899225.0,14553.0,1,10627,2,1,MFII_14_AND_BB_MAVG_20_AND_CCI_20,LAYER_1,Fraksi_4
785,UNVR,958939.0,-254058.0,-26,223558,29,29,MFII_14_OR_BB_MAVG_20_OR_CCI_20,LAYER_1,Fraksi_4
786,UNVR,955427.0,-106777.0,-11,114277,15,15,MFII_14_AND_BB_MAVG_20_OR_CCI_20,LAYER_1,Fraksi_4
787,UNVR,955427.0,-98653.0,-10,77153,10,10,MFII_14_OR_BB_MAVG_20_AND_CCI_20,LAYER_1,Fraksi_4
788,UNVR,899225.0,14553.0,1,10615,2,1,MFII_14_AND_BB_MAVG_20_AND_SO_14,LAYER_1,Fraksi_4
789,UNVR,958939.0,-179533.0,-18,146533,19,19,MFII_14_OR_BB_MAVG_20_OR_SO_14,LAYER_1,Fraksi_4
790,UNVR,963456.0,-5505.0,0,60505,8,8,MFII_14_AND_BB_MAVG_20_OR_SO_14,LAYER_1,Fraksi_4
791,UNVR,963456.0,-32624.0,-3,53624,7,7,MFII_14_OR_BB_MAVG_20_AND_SO_14,LAYER_1,Fraksi_4
792,UNVR,899225.0,14553.0,1,10627,2,1,MFII_14_AND_CCI_20_AND_SO_14,LAYER_1,Fraksi_4
793,UNVR,955427.0,-103293.0,-10,114293,15,15,MFII_14_OR_CCI_20_OR_SO_14,LAYER_1,Fraksi_4
794,UNVR,963456.0,-5505.0,0,60505,8,8,MFII_14_AND_CCI_20_OR_SO_14,LAYER_1,Fraksi_4
795,UNVR,963456.0,-48689.0,-5,53189,7,7,MFII_14_OR_CCI_20_AND_SO_14,LAYER_1,Fraksi_4
796,UNVR,963456.0,-72324.0,-7,46324,6,6,BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_1,Fraksi_4
797,UNVR,958939.0,-264122.0,-27,223622,29,29,BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_1,Fraksi_4
798,UNVR,955427.0,-47601.0,-4,99601,13,13,BB_MAVG_20_AND_CCI_20_OR_SO_14,LAYER_1,Fraksi_4
799,UNVR,958939.0,-169469.0,-17,146469,19,19,BB_MAVG_20_OR_CCI_20_AND_SO_14,LAYER_1,Fraksi_4
76,UNVR,899225.0,14553.0,1,10615,2,1,MFII_14,LAYER_1,Fraksi_4
77,UNVR,958939.0,-183000.0,-19,124000,16,16,BB_MAVG_20,LAYER_1,Fraksi_4
78,UNVR,955427.0,-106777.0,-11,114277,15,15,CCI_20,LAYER_1,Fraksi_4
